SEKOLAH MENENGAH KEBANGSAAN SRI JAYA,CEA9167,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 1,CBA9006,null
SEKOLAH KEBANGSAAN KUALA SENTOL,CBA9008,null
SEKOLAH KEBANGSAAN CHENOR,CBA9040,null
SEKOLAH KEBANGSAAN PESAGI,CBA9013,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 21,CBA9047,null
SEKOLAH KEBANGSAAN SEKARA,CBA9049,null
SEKOLAH KEBANGSAAN LKTP JENGKA 5,CBA9110,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 13,CBA9132,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 17,CBA9137,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 19,CBA9139,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 20,CBA9143,null
SEKOLAH KEBANGSAAN JENGKA PUSAT 2,CBA9150,null
SEKOLAH MENENGAH KEBANGSAAN (LKTP) JENGKA 16,CEA9165,null
SEKOLAH MENENGAH KEBANGSAAN DESA JAYA,CEA9168,null
SEKOLAH MENENGAH KEBANGSAAN CEDUNG JAYA,CEA9169,null
SEKOLAH KEBANGSAAN (FELDA) CHINI 1 & 4,CBA5078,null
SEKOLAH KEBANGSAAN BELIMBING,CBA5010,null
SEKOLAH KEBANGSAAN TANJUNG BATU,CBA5013,null
SEKOLAH KEBANGSAAN SINAR MUTIARA,CBA5015,null
SEKOLAH KEBANGSAAN PAHANG TUA,CBA5019,null
SEKOLAH KEBANGSAAN PULAU RUSA,CBA5020,null
SEKOLAH KEBANGSAAN GANCHONG,CBA5021,null
SEKOLAH KEBANGSAAN PULAU MANIS,CBA5022,null
SEKOLAH KEBANGSAAN PERMATANG KELEDANG,CBA5023,null
SEKOLAH KEBANGSAAN SERI BIRAM,CBA5024,null
SEKOLAH KEBANGSAAN PASIR PANJANG,CBA5025,null
SEKOLAH KEBANGSAAN TANJUNG AGAS,CBA5026,null
SEKOLAH KEBANGSAAN TANJUNG MEDANG,CBA5027,null
SEKOLAH KEBANGSAAN KG ACHEH,CBA5028,null
SEKOLAH KEBANGSAAN PADANG RUMBIA,CBA5030,null
SEKOLAH KEBANGSAAN SERAMBI,CBA5031,null
SEKOLAH KEBANGSAAN PALOH HINAI,CBA5032,null
SEKOLAH KEBANGSAAN PELAK,CBA5033,null
SEKOLAH KEBANGSAAN MAMBANG,CBA5034,null
SEKOLAH KEBANGSAAN KINCHIR,CBA5035,null
SEKOLAH KEBANGSAAN MERCHONG JAYA,CBA5044,null
SEKOLAH KEBANGSAAN SERI MAKMUR,CBA5072,null
SEKOLAH KEBANGSAAN LEPAR,CBA5074,null
SEKOLAH KEBANGSAAN KOTA PERDANA,CBA5079,null
SEKOLAH KEBANGSAAN RUNCHANG,CBA5082,null
